comments	label
우리 장훈이 형님이 이혼했는지 알긋다 오정연 이여자도 보통사람은 아닌듯	1
우익넘들 편에 선게 자랑이라고 덕분에 이승만 박정희 전두환 노태우 김영삼 이명박그네 쓰레기악마들 보게됐지	1
부상도 아니고 3500 이면 개꿀이네 배달기사분 같은데 막상 욕은 해도 금액이면 보통 합의 하겠지 현실과 타협하느라 역시 정의구현은 힘들다	1
미친년이네 ㅋㅋㅋ 손봐라 ㅆㅂ 외모도 보이네	1
적어도 민주당 좌파뽑는애들은 잘못된신념이라도 본인신념이라도 있지 자한당지지새끼들은 이노옴 박통이 지옥에서우신다 이지랄중 박정희 전두환 독재자 씹새끼들 외치먄서 자한당지지중 뇌가빈건 우파라는새끼들 아닐까 ㅋㅋ	1
홍어 만날 ㅈㅈㅂ만 처올리노	1
바이러스 짱깨 지들끼리 치료제 처맞고 사재기 부추기고 짜증난다	1
이종석 연기잘하고 존잘 열폭 한남 비율봐라 군대 기사에 발작함	1
꼴리지는 않고 그냥 존나 귀엽다	1
김어준이 진짜 사기꾼이지	1
제발 우리 여성분들 몸가짐 철저히 합시다	1
백종원 운영하는 새마을식당드렸다가 실망 위생 서비스엉망 자기가게나 신경쓰시지	1
신발꾸겨신는거바ㅜㅜ진짜남자들이나 사람들이싫어하는데그것도 이지부스터같은데 비싼운동화를꾸겨신다니ㅡㅡ	1
그건 니가 개보지년이어서 그런거 아닐까	1
태생이 이상하던데 어렸을때부터 아직도 옹호하는 팬심 대단하다	1
아들이 갚아 똘아이들 그러니 사기 당하고 살지	1
저거들 고향 젓라도 아닌가요	1
초밥집 사모님 좋은데 맨발에 블링한 페디큐어하고 슬리퍼신고 일하는건 아닌것 같아요 미용실 아니잖아요	1
경찰대 떡상 ㅅㄱ	1
진짜 이세상에서 중딩이 제일 맛있음 갓생리 개통할 시기지 중1이 제일 맛남	1
근본없는 탈북자 새끼가 어디서 말을 섞어 변절자 새끼	1
글쓴이 와꾸 승리에 비하면 방사능 피폭 원숭이 일듯	1
백종원은 집에 원래 돈이 있는 집안인데 무슨 서민들이 사업해서 한번 자빠져봐라 회생불가능이다 집안 빵빵하니 이거저거 해보고 그중 하나가 터진거지	1
이게 맞지 일게이들 운동선수는 몸상하는거 아니냐 노가다 아니냐해도 이쁜연예인들 만나고 결혼하는거보면 인식자체가 노가다랑 다른건데 이런걸 이해못함	1
가부장제 한남은 도태가 답이지	1
이게 대통령이 정치를 잘못한탓이다	1
진짜 힘들면 고인을 차마 입에 담는것도 힘들어요 근데 너무 언급하셔서 진심인지 모르겠어요	1
강력한 부동산정책 계속 내놓으면 나중에는 부동산국유화 나오겠네 지금 시행하지 토지국유화 주장한 애미추도 법무장관이고 국회도 문재앙개때들로 장악했고 우리법연구회로 대법원 채웠으니 이러면서 부동산투기는 자기들이 다하고 이젠 단물 빨아먹었나 갑자기 강력한 규제한다고 날뛰니	1
추자현 발연기부터 어떻게 해라 여기가 아직도 중국인줄 아나봄	1
아들 얼굴은 엄마 얼굴 아들은 엄마를 많이 닮습니다 잘생긴 아들 낳으실려면 이뿐여자 만나세요 ㅋㅋㅋ	1
김종국 아빠 인생최대 행복했던 순간은 근육빵빵 아들내미 군대안갔을때 ㅎㅎ	1
여자들것도 해킹해봐라 남자를 걸레짝취급하고 물건취급하고 그럴걸	1
와ㄷㄷㄷㄷㄷㄷㄷㄷ할배 트라우마 좆되겠네ㄷㄷㄷㄷ곱게 바퀴약 쳐먹고 뒤지지 저게 뭐야	1
근대 이와중에 박나래 못생긴건알았지만 진짜 너무 ㅈㄱㅇ 생겼다 재는 티비에 안나오길 눈썩는다는걸 진심 느낌ㅜ 진심으로여 이건 악플아니예여 내주변 남자들 다박나래 이국주 나옴 채널돌림	1
40대 아줌마들 댓글비율좀봐	1
지금이라도 잡혀들어가야 하는 맞는데 이슈 타이밍이 mb랑 전씨 끄나풀들이 느낌이 강하게 드네	1
주식으로 주는것도 아닌데 영향 븅신년아	1
아이돌 넣어서 아이돌 이미지 망치지 말고 니들끼리 망해라 이제 엠씨들 때문에 안본다 특히 김구라 윤종신 김국진때문에 신정환 옹호할때 떨어졌다	1
형식군 거기서 나와 좌파 잔치에 들러리 서러 갔네	1
보다 훨씬 나쁜새끼들인데 말이죠	1
살빠져도 잘생겨지네	1
ㅈㅈㅂㅁㅈㅎ 그리고 게으른 만나면 좆된다	1
출연자들 하나같이 맘에 안드네 ㅎㅎ광규 형님 예능 식상하다 재미없고아재 개그 이민정은 이병헌땜시 싫고군대 안간 외국인 노동자 앤디 비호감이라나머지는 괜찮음 ㅋㅋ 소재가 식상하다	1
기센여자랑살려면 바보가되야됨	1
대한민국 군대나온 수컷들은공짜로 여행보내주고방송촬영하면 백퍼 뛴다	1
우리나라사람들이 대체로 사람을 잘믿어서 사기가 존나많음 전라도것들이 대부분 사기침ㅋ	1
다음 생에는 갓남으로 태어나라 갓남 장애인으로	1
나이차이는 느껴지는데 요즘 백종원씨 너무 띄움	1
아직 한국여자랑 결혼하는 등신이 있냐	1
ㅈㄹ ㄴㄴ	1
모르면 배우고가라 병신아이슬람 역사 상식선에서 아는거라고 ㅈㄹ마 병신아그럼 니가 팔레비왕조에 대한 의견을 설파해보던가 ㅅㄲ야	1
미씨 원탑을 까노	1
가식이라쓰고 메뚜기라 읽는다 빼박팩트	1
작가 애도 성상납 했나 어디서 주워 듣고 아는것 처름 애기하네 푼수	1
코로나19 집단발병지 인근엔 미군부대가 있지 우한에서는 작년 가을 세계군인체육대회를 했어	1
오바좀 하지말자	1
요즘개념말아처먹은년들이많아서 여자한테 해주면 젊은자지한테 홀려서 집팔아먹을것같아서 못해주겠음 의외로 미친년들 진짜많다	1
인증은 니애미보지에다 쑤셔박고옴 서강대에서 존홉 밑바닥새낀 뭐가달라도다르다	1
화목한 가정 특징 마누라가 이쁨	1
이필모 얼굴이 왠지 슬프 보인다 서수연은 얼굴이 편해보인다 결혼은 남자의 무덤인가 두분 행복하세요	1
양세바리 강라인을 탓어야지 유라인은 한뿔갔어	1
주예지 발언 영상보고 왔는데 용접공 비하 발언이라고 하기엔 애매하던데 공부못하면 기술이나 배우라는 의미더만 맞는 말이지 그건 공부가 적성에 안맞으면 기술이나 배워야지이걸 용접공 비하라고 해석하는 건오히려 그렇게 해석하는 놈들 머리에 용접공은 하찮은 직업이라는 의식이 깔려있어서 그렇게 받아들이는 거라고 본다	1
경단녀가 한다는 겨우 출판사에서 연애하기냐 남자 없인 회사 생활이	1
조현은 욕한거임 이기적인 계집들아	1
역시 고상한척하면서 트위터에 야짤올리는건 뭔가	1
닭끄네 최초로 탄핵당한 멍청하고 병신같은 개보지^^	1
화교년 아니냐	1
애기 자는데 밤에 아빠가 마시러 나가다 밟았나보다 ㅠㅠ불쌍해서 ㅇㅂ야	1
공직자가 공직자가 아니고 전문가조차 전문성이 떨어지는 곳에 인력들을 배치하니까 사단이 나는거다 아마추어 정부 수준도 아니고 동네 아는 바보 병신들 모아다 꾸린 집단임	1
올해 안에 자살해라 존못새끼야 ㅋㅋ	1
진짜 본인애니보고 딸치게 생긴 씹덕 얼굴상 얼굴깐글에 욕도 박을수있으니 김치응딩이 ㅅㅌㅊ	1
pornhub에 코스프레하고 떡치는거 있다	1
개돼지집단 개한민족의 실상 사촌이 땅사면 배아픈 민족이라 앞에선 웃어도 뒤에서 호박씨 까는게 일상임 소름돋는 개한민족 무섭다	1
연애인들의 필수 아이템 공황장애 ㅋㅋ	1
7등급은 가르쳐서 되는 아님 그냥 멍청한 학생이 안배우는 거임 그리고 전에 문과 1등급 vs 이과 7등급 이랬던거 보면 그냥 이과부심 부리면서 주제모르고 나대는 병신일	1
그래서 잘생겼으니 인기끈거고 정치병 유투버도 아니고 능력으로 뜬건데 질투라도 해주길 바라냐 ㅋㅋㅋ	1
이름이 미녀라 아무리봐도 미녀는없는데	1
돼지년이 그리 만들어 쑤시고 살이 찌고 그리 징징거리냐 적당히 자제 해가며 먹지 그러니까????????	1
좆냥이주인쉑덜왜 집사집사 ㅇㅈㄹ함	1
도시어부 보고 따라하는 같은데 에휴ㅉㅉ안봐도 노잼	1
이아줌마가 누구임	1
병신새끼사표쓰고 나와서 하나 생기면 그자리는 시체팔이 민주팔이 씹새끼들한테 줄서기 바쁜 무능한 개새끼가 앉을게 뻔한데문가새끼 좋은 해놓고 잘했다고 어휴 검사라는 새끼가 생각이 저래 짧아갖고 ㅉㅉㅉㅉ	1
군대는 가야지 유아인처럼 살면 안된다	1
남자들은 씨를 말려야해 라고 페미들이 말하는거랑 같은논리	1
그래도 삼성 부장 정도면 연봉 몇억씩 받았을텐데 그리고 퇴직금도 오지게 받았을텐데 그거로 차라리 일용잡부 뛰면서 한달에 200정도 생각하고 나머지돈으로 생활비쓰지뭣하러 떡볶이집 오픈해서 고생하시냐 진짜 장사로 투자1 5억해서 5억 본전만 찾아도 다행인시대다게이들도 만약에 퇴직금 다해서 현찰 2억 정도 있으면 그돈 생활비로 야금야금쓰고 일용잡부 뛰거나 아님 월급쟁이 마트 직원 그런거라도해라어지간해서 사업하면 까먹고 망하는 세상임	1
일베에서 틀딱거리는 새끼들 전라도 대깨문 평균나이 50대이상지들이 노인인 모르고 애들 노는데서 틀틀 거리는 존나 웃김ㅋㅋ	1
하와이가서 낳을꺼쥬	1
결국 남자를 죽게 하는건 뇨쟈들 요즘 여자들 순결 지키고 남자 한테올인 하는 여자들 잇는지 원나잇 하는 세상에 여자들 니들은 남편 이랑할때 아다라시 엿나 ㅋㅋ	1
씹벌레색기가 머라는거야 ㅋㅋㅋ	1
러시아인을 동양계라는 병신년은 진짜 처음 본다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1
이상화 광대 보소 얼면적도 강남보다 넓네 감출려고 비스듬하게 찍어도 티나네 이혼할듯	1
빨렙들이 퍼오는 정치글들 제목 보기만 해도 역겨움	1
ㅅㅂ 꿈이 진짜 저런 스몰웨딩이다사돈의 팔촌까지 끌어모아서 어색한 자리 갖는거 상상만해도벌써부터 기절할거같노	1
아니 메시 허락은 안받고 아버지 허락을 처받고있냐 미친 양아치 새기네	1
경리잘하게 생겼구만	1
반성문이라니 키워준 국가 확실히 공산당이 맞구나 시켰것지 콩산당이	1
트럼프 존나젊어보이네 나홀로집에2 나오던때냐	1
노령연금 무상진료 혜택보는 개돼지가 세금내는 우리보다 훨씬많아서 글쌔다	1
좀있으면 100억도 나오겠네 시발 ㅋㅋㅋㅋㅋㅋ	1
타죽었으면 좋겠다	1
애들와꾸 어쩔꺼냐 하긴 돈이 많으니 성형시켜주겠네 걱정없겠네	1
비하하는 놈들 비하하는 개병신 중에서도 상개병신 아닌가	1
엑소 중국놈들이 통수쳐서 그후로 sm에서 중국국적 제대로 안키우더만 아무튼 아이돌 산업 그거 구라 아니냐 새끼들 중에 안쳐대고 다니는 없을걸 저런데 쓰는게 병신호구지 유사 연애감정으로 버는 주제에 한번에 임신에 결혼까지 해버리네 당연 팬들 입장에선 빡치지 아무튼 이런걸 알아서인지 제대로 남자는 딱히 좋아하는 연예인 없음	1
좆무원 새끼들 족치고 짤랴야댐	1
지랄하네	1
정조국김성은 키크고늘씬하니 머리는안될테고 운동시키면되겠네 농구 배구	1
꼬시다 꼬수워노가다 세끼들 제발 좌파해라 쪽팔린다	1
개판이네 김준호는 디엔에이에 도박있는듯 차태현도 실망이다 틀딱들만 보는 프로 폐지해라	1
한국년들 지들 수준은 생각치도 않고 가관이네 니네 비위 맞춰주면서 살려면 나이차가 최소 20년은 나야 맞춰주지 잘버는 남편 만났으면 고마운줄 알아야지 하나 채워지면 하나 내놓으라는 심뽀 징글징글하네	1
저게 빅데이터를 활용한 관리다 어떻게 저런걸 사람이다 분류하겠냐 야동이어도 파일이름에 근친 가슴 누나 봊이 이런거있으면 바로 컴퓨터가 걸러내는거고야동을저장해도 다른이름으로 해야함	1
진짜 개좆같음 딱히 세입자 문제가 아니라 모든 상황에서 저럼	1
그건 햇을까	1
충청도 바보들이 자기 밥그릇 뺏긴거임	1
우익사쿠라 한국에서 꺼져줘	1
걱정마 암으로 안죽고 굶어 죽을거여	1
아니 사쿠라가 1등 했다고 해봤자 4등 권은비랑 30표정도밖에 차이안나는데 무슨 일뽕이 지구정복이라도 한것처럼 오바하지마라 일뽕들만 몰려간거치고는 엄청 공정하게 투표한거구만	1
이럴 골빈 그럼 결혼을 하지말든가나중에 누구엄마라고 부르면 화내겠네	1
미투 최대 피해자김생민?불쌍해	1
진짜 우리나라에 불편한사람들 많다 ㅋㅋㅋ 지들 현실에는 평생해도 못버는돈 하루만에 버니까 지들 인생이랑 비교돼서 배아픈거같은데 그냥 니들 인생이나 생각해라 ㅋㅋ 남까면서 자위질그만하고	1
못벌더라도 용접공보다 다른 직업이 낫다는말이지돈이 장땡이면 창녀랑 결혼하지그러노	1
우아 여그 신고 먹는 벌레들이랑 싱크로율이 거의 100 수렴 하는데	1
한남들은 페미 메갈 이런것도 안하는데 말하는거 들으면 토악질나와서 칼꽂고싶음 ㄷㄷ 한국남자분들 제발 인성 갖추고 예의바르게 사세요	1
여자 너무 여우 같아 보이던데이쁜척하고	1
인스타 안하는 여자 만나고 싶다	1
틀니 2주 압수	1
저런 늙은이들이 이나랄 망친다	1
우아 지오누나를 비방하더니 ㅋㅋㅋㅋ 이젠 생시람잡네 보수집권 멸망 아베대변인 주적은 북한이지만 니넨 쪽바리 제일 나쁘다는걸 명심해라	1
니들 시엄마도 겪은거다 되물림되는거고ㅎㅎ 니들도 마찬가지인 시엄마될꺼고ㅋㅋ 하나만 알고 둘은 모르는 김치녀언들ㅋ	1
그리고 하나 더때리면 여론조사 별거 아니라고 우기는 틀많은데 이석기경기연합 어쩌고 그것도 여론조사 조작 결국 정당해산까지 간거임 선거는 민주주의꽃이라서 엄격함 닭이 여왕마인드 조선시대머리라 막한거지	1
민노총공돌이 새끼들아 안사새끼야	1
그상황에 총선 안지는게 이상한거 뮨재인독재를 막으려면 황이 잘해야함 근데 못함 그런 선거라도 이기는방향으로 가야함 근데 이기는 방향 뻔히 있는데 안함 할생각도 못함 티케이 100퍼 물갈이 하면 총선 과반은 그냥넘고 민주당 두자리 될수도잇음 근데 아니라고 우김 그러면서 하는건 불출마 이미오래전에 김무성만 욕함 진글 퍼오기 도배만 병신짓 ㅇㅇ	1
일본이 모든 음식의 기원한 곳이라고 한거 너잔아 씨발년아	1
오늘도 김치녀	1
얘는기본적으로 배우자질이 갖춰져있다신인이 무슨 논란이 이렇게도 않은지 그냥마일찌감치 배우접고일반인으로 살아라	1
애기는안갖나 하긴 무자식이상팔자다 김원희봐라 쭉일하잖아	1
늙었다 최지우가 시집가서 마음고생했나더 늙기 전에 좋은짝 만나요 일반인으로	1
울동네는 맘충들없음	1
교타로가 전형적인 인자강 씹재능충임 맷집도 존나쌔서 ko안되고 복싱전향후 귀신같이 동양헤비급챔피언 ㅋㅋ 요즘은 노화와서 세계챔피언전에서 패배	1
베충이왈 이것은 조작이므니다 빨갱이 조사기관 이므니다 천황폐하 만세	1
레아 미만잡 ㅋㅋ총밖에 못쓰는년이 공주지위 하나로 오더존나내림	1
펨코 씨발련들 싸가지 왤케 없냐저 정도 길이면 그냥 건너갈 수도 있지누군가의 엄마이고 할머니이고 그럴텐데댓글 꼬라지 존나 싸가지 없네 개쓰레기새끼들이	1
여자가 너무아까움	1
못생긴 놈이 진지하게 기타 치는데 진짜 꼴보기 싫음	1
한국 ㅋㅋㅋ 나왔군 ㅋㅋ 이번엔 주예지다이기야 말한마디 잘못했어 인성이 안됬어 그럼 모두 달려들어 저년을 죽이라이기야	1
못배웠으니 저러지 쯧쯧 수준 알만하다	1
엄마될 사람이	1
나는 악플달려고왔는데 생각해보니깐 태국ooo들이 별걸로 다시비걸고 많이컸네진짜	1
한혜진 때도 맞췄듯이 전현무 입장에선 데리고놀다 버릴 그이상 노노 절대 결혼까지 안간다고 장담한다 여자가 바보다 카사노바와 공개열애라니ㅎㅎ시집잘갈 앞길 막혔다고 본다	1
조폭새끼들 싸움 못한다고 착각하는 애들이 병신같음 저새끼들 태반이 유도 씨름 복싱 선출임	1
하필 이때 폭로 하는걸까 3년이나지나서 제2의 전성기가 오는시기에 바로하면되지 이상해 폭로한여자도 수상하고 혹시 강지환이여자들처럼 합의금 그런데 나가면 돈일수도	1
외계인 고문한다는 샘숨 스맛폰 부서에있노 힘내라 게이야 세상에 쉬운게 어딨노ㅜ지랄맞은 부장게이 실력 좋아 그자리 올랐겠지만 본문게이랑만 마찰있는게 아니구 다른 사람들이랑도 그렇다면기냥 버텨라이기야 그래봐야 사람사는세상	1
아무래도 윗선에서 장자연 묻으려고 프레임을 짠거같네 윤지오의 발언을 거짓으로 몰아 장자연 죽음을 덮는거지 달을 보라고 손가락으로 가리키니 사람들이 달은 안보고 손가락만 보는 꼴ㆍ	1
남들 다가는 군대	1
나이먹고 어리고 잘나가는 남자랑 결혼하니까 질투하는 아줌마들 많네 ㅋㅋㅋ	1
지랄병하고 앉아 있넹	1
발기부전 냉동자지	1
개티즌들 마녀사냥 역겹다진짜	1
조만간 얘네들도 적폐로 몰리겠네ㅋㅋ문재앙이 싫어하는6 25 다뤄서ㅋㅋ	1
세상에서 젤이쁘게 생겼었던 한가인도 이제 나이가든게 눈에 보이네 안타까워요	1
30인 규모 씹좆소가 맞을지도 ㅋㅋㅋ 일은 존나 빡세도 오히려 씹좆소들이 쓸데 없는 저런거는 없음 왜냐면 일이 존나 빡세고 작업 환경 열악해서	1
여자좋아하고 바람 관상이니 조심하시오	1
젊어서 바람 필수도 있지 바람핀거 용서 못하면 이혼하면 되는것이고 그래도 좋으면 그냥 참고 살아야지 지금와서 어쩌라고	1
40살여자랑 로맨스 ㅋㅋ별로다	1
역시 여자는 말라야 좋치 속으로는 마른여자 좋아하면서 솔찍해집시다	1
영입추천한 새끼나 검증한새끼나 들어온년이나 전부 병신같다	1
무식한새끼야 그럼 연봉으로 고쳐	1
배우감은 아닌데 민기딸은 그거라도 크지	1
ㅋㅋ 3주는 왠만하면 병원에서 스티커 발부해준다	1
일부러 엉망인 찾아서 섭외 하는구만	1
이쉐기덜 아주 나쁜놈들입니다 먹엇으면 지들만먹고 촬영해서 지들만보면 답니까 전국민의 남자들도 같이 보면 얼매나좋습니까 아주 이기적인놈들입니다 처벌 확실히 부탁드립니다 판사님	1
씨발새끼들	1
솔직히 남자들 사이에서 저런거 올리면 욕하기도 그렇고 가만있게 될거같다 로이킴은 위에놈들과 같진 않을거같은데 슈퍼스타k 우승상금 5억 바로 전액 기부하고 좋은놈 같던데 봐야알겠지만 억울한 사람들도 여럿 나올듯	1
정준이 연예인이냐 월세 못낸다고 징징대고 십년안에 연기한 작품이 잇기는 쩌리중에 쩌리지	1
남자들 열폭 심하네요ㆍ여자들 눈에는 알베르토 그냥 잘생기고 멋있고 능력있고 인성 좋고 똑똑한 남자로 보임^^	1
결혼 못하는놈들 댓글보소 ㅋㅋㅋ	1
기안이 쿵쾅이 웹툰 그려서 먹었는데 쿵쾅이 아줌마들은 그것도 모르고 좋다고 빨아주네 피아식별 해라 쿵쾅이 40대 댓글 많이 다는 아줌씨들아 ㅋㅋ	1
드라마 자체가 한남 판타지 스토린데 ㅋㅋㅋㅋㅋㅋ	1
연약한 슈언니 대신 효성 오빠가 도박했다고 했으면 멋있었을텐데 살짝 아쉽네요 ㅎㅎ 갑자기 정신이 없어서 깊이 생각을 못했나봐요 ^^*	1
먼저 언론에 공개하고 인터뷰한사람이 구린 경우가 많지	1
정도 몸매는 길거리에 널리고 널렸지 그냥 오크돼지줌마들의 워너비 ㅉㅉㅉㅉ	1
맞아 병신들 딸이나 치노	1
지잡대라도 가는 개돼지가 아니고 뭐냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1
졸라 모였네 박신혜 스타일이 좋음 신동엽같이 모인눈 극혐 갈데가 없어 짱개랑	1
정준영이랑 엄청친해보이던데 박나래도 양심이있다면 알아서 프로그램 하나씩 정리하는게 예의아닌가	1
나이도 많이 먹은 늙은 송중기가 뭐가 순수함 ㅋㅋㅋㅋㅋㅋ 확실하지도 않는 찌라시 내용으로 여자 연예인 머리채만 오지게 잡죠	1
쌩뚱맞게 60대최반엌 치매라니 그것도 곱게 사는 사모님이- 알콜중독도 아니고 드라마보다가 황당했습니다	1
약년아 ㄲㅈ	1
이유업는악플은업다 논란이많은연애인들이악플많은건당연하다	1
지방 댄스팀임	1
아들 결혼식에서 옥자씨 잘해줄게 ㅠㅠ이아저씨 정말 진상이야 짜증나 이제 그만 나와요광산김씨 지겹다 정말 하차 안할거면 옥자씨 친정 식구들이나 나와라 김씨들 그만 장작가에게 김승현씨 이미지만 나빠짐	1
진짜 넘으면서 개오버 하더라니 결국엔 사고 쳤네 성규가 아니라 성구더라 아나운서계의 철구 ㅉㅉ	1
가만히 있지 얘기해서 통까흥 알고리즘 가동했네 씨발	1
저렇케이쁜데 건모씨는엥 처녀잖아 아까비 젊고싱싱한넘하고먼저살아보고 그담에 해두 받아줄듯 인물 직업 돈도 쓸만큼벌겠구먼	1
진짜 일본은 저렇게 이쁜데 중국은 씹창난 이유가 뭐냐 같은 동양인데 유럽은 나라들이 개성있고 멋있잔아한국도 외국인이 바라보기에 저렇게 아름다운 나라일까	1
공뭔년놈들이 사기불법탄핵에 주동자중 하나인 이유지	1
변신한 얼굴 선풍기 아줌마 되겠다	1
일게이들 같은 일게이 조리돌림 해서 컨텐츠 하나 죠졌누	1
애미뒤진 흑재앙짱깨콜라보집단ㅋㅋㅋ 지들 빨개벗고 목화따던 면역력이랑 어디 같은줄알아 안경을 뿌셔벌라	1
짱개를 대륙이라부르고 이상한브금까지넣어서 ㅁㅈㅎ	1
